series	ID	site	sp	tree	class	dbh	ht	defoliation	soil.sensor
92222158	P_Ph803	PE	Ph	803	D	35.8	8	80	NA
92222167	P_Ph805	PE	Ph	805	D	35.3	5.5	90	NA
92222165	P_Ph808	PE	Ph	808	D	37.8	8.5	75	94231949
92222179	P_Ph809	PE	Ph	809	ND	32	7.5	25	NA
92222172	P_Ph810	PE	Ph	810	D	31	7.5	65	94231948
92222160	P_Ph811	PE	Ph	811	D	31	7	75	NA
92222152	P_Ph817	PE	Ph	817	ND	37	8	50	94231947
92222177	P_Ph819	PE	Ph	819	ND	33.7	7	20	NA
92222151	P_Ph830	PE	Ph	830	D	23.9	5	70	94231946
92222168	P_Ph831	PE	Ph	831	ND	25.3	6.5	55	NA
92222166	P_Qc1	PE	Qc	1	Quercus	NA	NA	NA	94231950
92222176	P_Qc2	PE	Qc	2	Quercus	NA	NA	NA	NA
92222178	P_Qc3	PE	Qc	3	Quercus	NA	NA	NA	NA
92222153	P_Qc4	PE	Qc	4	Quercus	NA	NA	NA	94231934
92222159	P_Qc5	PE	Qc	5	Quercus	NA	NA	NA	NA
92222157	M_Pp402	MI	Pp	402	ND	32.5	6.7	25	94231935
92222169	M_Pp406	MI	Pp	406	D	22.3	5.8	75	94231940
92222154	M_Pp409	MI	Pp	409	ND	27.2	7.2	35	NA
92222156	M_Pp410	MI	Pp	410	D	21.9	6.6	70	NA
92222170	M_Pp412	MI	Pp	412	ND	23.2	6.8	15	94231939
92222175	M_Pp414	MI	Pp	414	D	24.3	5.9	60	94231938
92222173	M_Pp415	MI	Pp	415	ND	22.4	5.5	10	NA
92222180	M_Pp416	MI	Pp	416	ND	23	5.7	20	NA
92222162	M_Pp428	MI	Pp	428	D	18.6	5.2	80	NA
92222174	M_Pp429	MI	Pp	429	D	24.2	5.4	80	94231936
92222155	M_Qi1	MI	Qi	1	Quercus	NA	NA	NA	NA
92222164	M_Qi2	MI	Qi	2	Quercus	NA	NA	NA	NA
92222163	M_Qi3	MI	Qi	3	Quercus	NA	NA	NA	NA
92222161	M_Qi4	MI	Qi	4	Quercus	NA	NA	NA	NA
92222171	M_Qi5	MI	Qi	5	Quercus	NA	NA	NA	NA
92222338	C_Ps431	CO	Ps	431	D	38.8	NA	45	NA
92222337	C_Ps432	CO	Ps	432	ND	37.5	NA	5	NA
92222323	C_Ps434	CO	Ps	434	D	35.4	NA	55	94231933
92222322	C_Ps435	CO	Ps	435	ND	38.4	NA	10	NA
92222324	C_Ps436	CO	Ps	436	ND	34.2	NA	5	94231931
92222327	C_Ps437	CO	Ps	437	D	34.8	NA	65	NA
92222329	C_Ps439	CO	Ps	439	ND	31.4	NA	5	NA
92222326	C_Ps440	CO	Ps	440	D	39.3	NA	40	NA
92222328	C_Ps442	CO	Ps	442	ND	40.7	NA	0	94231944
92222330	C_Ps443	CO	Ps	443	D	33.8	NA	45	NA
92222321	C_Qi433	CO	Qi	433	Quercus	10	NA	NA	94231932
92222336	C_Qi438	CO	Qi	438	Quercus	10.2	NA	NA	NA
92222325	C_Qi441	CO	Qi	441	Quercus	7.5	NA	NA	94231945
92222333	C_Qi444	CO	Qi	444	Quercus	5.9	NA	NA	NA
92222331	C_Qi445	CO	Qi	445	Quercus	8.3	NA	NA	94231943

