series,ts,value,max,twd,gro_yr
92232436,2023-03-23T08:00:00Z,0,0,0,0
92232436,2023-03-23T08:15:00Z,0,0,0,0
92232436,2023-03-23T08:30:00Z,0,0,0,0
92232436,2023-03-23T08:45:00Z,0,0,0,0
92232436,2023-03-23T09:00:00Z,0,0,0,0
92232436,2023-03-23T09:15:00Z,-1,0,1,0
92232436,2023-03-23T09:30:00Z,-2,0,2,0
92232436,2023-03-23T09:45:00Z,-3,0,3,0
92232436,2023-03-23T10:00:00Z,-6,0,6,0
92232436,2023-03-23T10:15:00Z,-12,0,12,0
92232436,2023-03-23T10:30:00Z,-14,0,14,0
92232436,2023-03-23T10:45:00Z,-14,0,14,0
92232436,2023-03-23T11:00:00Z,-16,0,16,0
92232436,2023-03-23T11:15:00Z,-24,0,24,0
92232436,2023-03-23T11:30:00Z,-31,0,31,0
92232436,2023-03-23T11:45:00Z,-32,0,32,0
92232436,2023-03-23T12:00:00Z,-33,0,33,0
92232436,2023-03-23T12:15:00Z,-43,0,43,0
92232436,2023-03-23T12:30:00Z,-52,0,52,0
92232436,2023-03-23T12:45:00Z,-61,0,61,0
92232436,2023-03-23T13:00:00Z,-64,0,64,0
92232436,2023-03-23T13:15:00Z,-70,0,70,0
92232436,2023-03-23T13:30:00Z,-70,0,70,0
92232436,2023-03-23T13:45:00Z,-71,0,71,0
92232436,2023-03-23T14:00:00Z,-71,0,71,0
92232436,2023-03-23T14:15:00Z,-71,0,71,0
92232436,2023-03-23T14:30:00Z,-72,0,72,0
92232436,2023-03-23T14:45:00Z,-72,0,72,0
92232436,2023-03-23T15:00:00Z,-72,0,72,0
92232436,2023-03-23T15:15:00Z,-72,0,72,0
92232436,2023-03-23T15:30:00Z,-72,0,72,0
92232436,2023-03-23T15:45:00Z,-72,0,72,0
92232436,2023-03-23T16:00:00Z,-72,0,72,0
92232436,2023-03-23T16:15:00Z,-72,0,72,0
92232436,2023-03-23T16:30:00Z,-72,0,72,0
92232436,2023-03-23T16:45:00Z,-72,0,72,0
92232436,2023-03-23T17:00:00Z,-72,0,72,0
92232436,2023-03-23T17:15:00Z,-71,0,71,0
92232436,2023-03-23T17:30:00Z,-71,0,71,0
92232436,2023-03-23T17:45:00Z,-71,0,71,0
92232436,2023-03-23T18:00:00Z,-70,0,70,0
92232436,2023-03-23T18:15:00Z,-69,0,69,0
92232436,2023-03-23T18:30:00Z,-68,0,68,0
92232436,2023-03-23T18:45:00Z,-66,0,66,0
92232436,2023-03-23T19:00:00Z,-65,0,65,0
92232436,2023-03-23T19:15:00Z,-64,0,64,0
92232436,2023-03-23T19:30:00Z,-62,0,62,0
92232436,2023-03-23T19:45:00Z,-61,0,61,0
92232436,2023-03-23T20:00:00Z,-60,0,60,0
92232436,2023-03-23T20:15:00Z,-59,0,59,0
92232436,2023-03-23T20:30:00Z,-59,0,59,0
92232436,2023-03-23T20:45:00Z,-58,0,58,0
92232436,2023-03-23T21:00:00Z,-58,0,58,0
92232436,2023-03-23T21:15:00Z,-58,0,58,0
92232436,2023-03-23T21:30:00Z,-57,0,57,0
92232436,2023-03-23T21:45:00Z,-57,0,57,0
92232436,2023-03-23T22:00:00Z,-56,0,56,0
92232436,2023-03-23T22:15:00Z,-55,0,55,0
92232436,2023-03-23T22:30:00Z,-54,0,54,0
92232436,2023-03-23T22:45:00Z,-53,0,53,0
92232436,2023-03-23T23:00:00Z,-52,0,52,0
92232436,2023-03-23T23:15:00Z,-51,0,51,0
92232436,2023-03-23T23:30:00Z,-50,0,50,0
92232436,2023-03-23T23:45:00Z,-49,0,49,0
92232436,2023-03-24T00:00:00Z,-47,0,47,0
