series,ts,value,max,twd,gro_yr
92222155,2022-03-10T08:15:00Z,0,0,0,0
92222155,2022-03-10T08:30:00Z,1,1,0,1
92222155,2022-03-10T08:45:00Z,2,2,0,2
92222155,2022-03-10T09:00:00Z,2,2,0,2
92222155,2022-03-10T09:15:00Z,2,2,0,2
92222155,2022-03-10T09:30:00Z,2,2,0,2
92222155,2022-03-10T09:45:00Z,1,2,1,2
92222155,2022-03-10T10:00:00Z,1,2,1,2
92222155,2022-03-10T10:15:00Z,1,2,1,2
92222155,2022-03-10T10:30:00Z,1,2,1,2
92222155,2022-03-10T10:45:00Z,1,2,1,2
92222155,2022-03-10T11:00:00Z,1,2,1,2
92222155,2022-03-10T11:15:00Z,1,2,1,2
92222155,2022-03-10T11:30:00Z,1,2,1,2
92222155,2022-03-10T11:45:00Z,1,2,1,2
92222155,2022-03-10T12:00:00Z,1,2,1,2
92222155,2022-03-10T12:15:00Z,1,2,1,2
92222155,2022-03-10T12:30:00Z,1,2,1,2
92222155,2022-03-10T12:45:00Z,1,2,1,2
92222155,2022-03-10T13:00:00Z,1,2,1,2
92222155,2022-03-10T13:15:00Z,1,2,1,2
92222155,2022-03-10T13:30:00Z,1,2,1,2
92222155,2022-03-10T13:45:00Z,1,2,1,2
92222155,2022-03-10T14:00:00Z,1,2,1,2
92222155,2022-03-10T14:15:00Z,1,2,1,2
92222155,2022-03-10T14:30:00Z,1,2,1,2
92222155,2022-03-10T14:45:00Z,1,2,1,2
92222155,2022-03-10T15:00:00Z,1,2,1,2
92222155,2022-03-10T15:15:00Z,1,2,1,2
92222155,2022-03-10T15:30:00Z,1,2,1,2
92222155,2022-03-10T15:45:00Z,0,2,2,2
92222155,2022-03-10T16:00:00Z,0,2,2,2
92222155,2022-03-10T16:15:00Z,0,2,2,2
92222155,2022-03-10T16:30:00Z,0,2,2,2
92222155,2022-03-10T16:45:00Z,0,2,2,2
92222155,2022-03-10T17:00:00Z,-1,2,3,2
92222155,2022-03-10T17:15:00Z,-1,2,3,2
92222155,2022-03-10T17:30:00Z,-1,2,3,2
92222155,2022-03-10T17:45:00Z,-1,2,3,2
92222155,2022-03-10T18:00:00Z,-2,2,4,2
92222155,2022-03-10T18:15:00Z,-2,2,4,2
92222155,2022-03-10T18:30:00Z,-2,2,4,2
92222155,2022-03-10T18:45:00Z,-2,2,4,2
92222155,2022-03-10T19:00:00Z,-2,2,4,2
92222155,2022-03-10T19:15:00Z,-2,2,4,2
92222155,2022-03-10T19:30:00Z,-2,2,4,2
92222155,2022-03-10T19:45:00Z,-2,2,4,2
92222155,2022-03-10T20:00:00Z,-2,2,4,2
92222155,2022-03-10T20:15:00Z,-2,2,4,2
92222155,2022-03-10T20:30:00Z,-2,2,4,2
92222155,2022-03-10T20:45:00Z,-2,2,4,2
92222155,2022-03-10T21:00:00Z,-2,2,4,2
92222155,2022-03-10T21:15:00Z,-2,2,4,2
92222155,2022-03-10T21:30:00Z,-2,2,4,2
92222155,2022-03-10T21:45:00Z,-2,2,4,2
92222155,2022-03-10T22:00:00Z,-2,2,4,2
92222155,2022-03-10T22:15:00Z,-2,2,4,2
92222155,2022-03-10T22:30:00Z,-2,2,4,2
92222155,2022-03-10T22:45:00Z,-2,2,4,2
92222155,2022-03-10T23:00:00Z,-2.5,2,4.5,2
92222155,2022-03-10T23:15:00Z,-3,2,5,2
92222155,2022-03-10T23:30:00Z,-3,2,5,2
92222155,2022-03-10T23:45:00Z,-3,2,5,2
92222155,2022-03-11T00:00:00Z,-2,2,4,2
92222155,2022-03-11T00:15:00Z,-3,2,5,2
92222155,2022-03-11T00:30:00Z,-3,2,5,2
92222155,2022-03-11T00:45:00Z,-3,2,5,2
92222155,2022-03-11T01:00:00Z,-3,2,5,2
92222155,2022-03-11T01:15:00Z,-3,2,5,2
92222155,2022-03-11T01:30:00Z,-3,2,5,2
92222155,2022-03-11T01:45:00Z,-3,2,5,2
92222155,2022-03-11T02:00:00Z,-3,2,5,2
92222155,2022-03-11T02:15:00Z,-3,2,5,2
92222155,2022-03-11T02:30:00Z,-3,2,5,2
92222155,2022-03-11T02:45:00Z,-3,2,5,2
92222155,2022-03-11T03:00:00Z,-3,2,5,2
92222155,2022-03-11T03:15:00Z,-3,2,5,2
92222155,2022-03-11T03:30:00Z,-3,2,5,2
92222155,2022-03-11T03:45:00Z,-3,2,5,2
92222155,2022-03-11T04:00:00Z,-3,2,5,2
92222155,2022-03-11T04:15:00Z,-3,2,5,2
92222155,2022-03-11T04:30:00Z,-3,2,5,2
92222155,2022-03-11T04:45:00Z,-3,2,5,2
92222155,2022-03-11T05:00:00Z,-3,2,5,2
92222155,2022-03-11T05:15:00Z,-3,2,5,2
92222155,2022-03-11T05:30:00Z,-3,2,5,2
92222155,2022-03-11T05:45:00Z,-3,2,5,2
92222155,2022-03-11T06:00:00Z,-3,2,5,2
92222155,2022-03-11T06:15:00Z,-3,2,5,2
92222155,2022-03-11T06:30:00Z,-3,2,5,2
92222155,2022-03-11T06:45:00Z,-3,2,5,2
92222155,2022-03-11T07:00:00Z,-4,2,6,2
92222155,2022-03-11T07:15:00Z,-4,2,6,2
92222155,2022-03-11T07:30:00Z,-4,2,6,2
92222155,2022-03-11T07:45:00Z,-4,2,6,2
92222155,2022-03-11T08:00:00Z,-4,2,6,2
92222155,2022-03-11T08:15:00Z,-4,2,6,2
92222155,2022-03-11T08:30:00Z,-5,2,7,2
92222155,2022-03-11T08:45:00Z,-5,2,7,2
92222155,2022-03-11T09:00:00Z,-5,2,7,2
92222155,2022-03-11T09:15:00Z,-5,2,7,2
92222155,2022-03-11T09:30:00Z,-5,2,7,2
92222155,2022-03-11T09:45:00Z,-5,2,7,2
92222155,2022-03-11T10:00:00Z,-5,2,7,2
92222155,2022-03-11T10:15:00Z,-5,2,7,2
92222155,2022-03-11T10:30:00Z,-5,2,7,2
92222155,2022-03-11T10:45:00Z,-5,2,7,2
92222155,2022-03-11T11:00:00Z,-5,2,7,2
92222155,2022-03-11T11:15:00Z,-5,2,7,2
92222155,2022-03-11T11:30:00Z,-5,2,7,2
92222155,2022-03-11T11:45:00Z,-5,2,7,2
92222155,2022-03-11T12:00:00Z,-5,2,7,2
92222155,2022-03-11T12:15:00Z,-5,2,7,2
92222155,2022-03-11T12:30:00Z,-5,2,7,2
92222155,2022-03-11T12:45:00Z,-5,2,7,2
92222155,2022-03-11T13:00:00Z,-5,2,7,2
92222155,2022-03-11T13:15:00Z,-5,2,7,2
92222155,2022-03-11T13:30:00Z,-5,2,7,2
92222155,2022-03-11T13:45:00Z,-5,2,7,2
92222155,2022-03-11T14:00:00Z,-5,2,7,2
92222155,2022-03-11T14:15:00Z,-5,2,7,2
92222155,2022-03-11T14:30:00Z,-5,2,7,2
92222155,2022-03-11T14:45:00Z,-5,2,7,2
92222155,2022-03-11T15:00:00Z,-5,2,7,2
92222155,2022-03-11T15:15:00Z,-5,2,7,2
92222155,2022-03-11T15:30:00Z,-5,2,7,2
92222155,2022-03-11T15:45:00Z,-5,2,7,2
92222155,2022-03-11T16:00:00Z,-5,2,7,2
92222155,2022-03-11T16:15:00Z,-6,2,8,2
92222155,2022-03-11T16:30:00Z,-6,2,8,2
92222155,2022-03-11T16:45:00Z,-6,2,8,2
92222155,2022-03-11T17:00:00Z,-6,2,8,2
92222155,2022-03-11T17:15:00Z,-6,2,8,2
92222155,2022-03-11T17:30:00Z,-6,2,8,2
92222155,2022-03-11T17:45:00Z,-6,2,8,2
92222155,2022-03-11T18:00:00Z,-6,2,8,2
92222155,2022-03-11T18:15:00Z,-6,2,8,2
92222155,2022-03-11T18:30:00Z,-6,2,8,2
92222155,2022-03-11T18:45:00Z,-6,2,8,2
92222155,2022-03-11T19:00:00Z,-6,2,8,2
92222155,2022-03-11T19:15:00Z,-6,2,8,2
92222155,2022-03-11T19:30:00Z,-6,2,8,2
92222155,2022-03-11T19:45:00Z,-6,2,8,2
92222155,2022-03-11T20:00:00Z,-6,2,8,2
92222155,2022-03-11T20:15:00Z,-6,2,8,2
92222155,2022-03-11T20:30:00Z,-6,2,8,2
92222155,2022-03-11T20:45:00Z,-6,2,8,2
92222155,2022-03-11T21:00:00Z,-6,2,8,2
92222155,2022-03-11T21:15:00Z,-6,2,8,2
92222155,2022-03-11T21:30:00Z,-6,2,8,2
92222155,2022-03-11T21:45:00Z,-6,2,8,2
92222155,2022-03-11T22:00:00Z,-6,2,8,2
92222155,2022-03-11T22:15:00Z,-6,2,8,2
92222155,2022-03-11T22:30:00Z,-6,2,8,2
92222155,2022-03-11T22:45:00Z,-6,2,8,2
92222155,2022-03-11T23:00:00Z,-6,2,8,2
92222155,2022-03-11T23:15:00Z,-6,2,8,2
92222155,2022-03-11T23:30:00Z,-6,2,8,2
92222155,2022-03-11T23:45:00Z,-6,2,8,2
92222155,2022-03-12T00:00:00Z,-6,2,8,2
92222155,2022-03-12T00:15:00Z,-6,2,8,2
92222155,2022-03-12T00:30:00Z,-6,2,8,2
92222155,2022-03-12T00:45:00Z,-6,2,8,2
92222155,2022-03-12T01:00:00Z,-6,2,8,2
92222155,2022-03-12T01:15:00Z,-6,2,8,2
92222155,2022-03-12T01:30:00Z,-6,2,8,2
92222155,2022-03-12T01:45:00Z,-6,2,8,2
92222155,2022-03-12T02:00:00Z,-6,2,8,2
92222155,2022-03-12T02:15:00Z,-6,2,8,2
92222155,2022-03-12T02:30:00Z,-6,2,8,2
92222155,2022-03-12T02:45:00Z,-6,2,8,2
92222155,2022-03-12T03:00:00Z,-6,2,8,2
92222155,2022-03-12T03:15:00Z,-6,2,8,2
92222155,2022-03-12T03:30:00Z,-6,2,8,2
92222155,2022-03-12T03:45:00Z,-6,2,8,2
92222155,2022-03-12T04:00:00Z,-6,2,8,2
92222155,2022-03-12T04:15:00Z,-6,2,8,2
92222155,2022-03-12T04:30:00Z,-6,2,8,2
92222155,2022-03-12T04:45:00Z,-5,2,7,2
92222155,2022-03-12T05:00:00Z,-5,2,7,2
92222155,2022-03-12T05:15:00Z,-6,2,8,2
92222155,2022-03-12T05:30:00Z,-6,2,8,2
92222155,2022-03-12T05:45:00Z,-5,2,7,2
92222155,2022-03-12T06:00:00Z,-6,2,8,2
92222155,2022-03-12T06:15:00Z,-5,2,7,2
92222155,2022-03-12T06:30:00Z,-6,2,8,2
92222155,2022-03-12T06:45:00Z,-6,2,8,2
92222155,2022-03-12T07:00:00Z,-5,2,7,2
92222155,2022-03-12T07:15:00Z,-5,2,7,2
92222155,2022-03-12T07:30:00Z,-6,2,8,2
92222155,2022-03-12T07:45:00Z,-6,2,8,2
92222155,2022-03-12T08:00:00Z,-6,2,8,2
92222155,2022-03-12T08:15:00Z,-6,2,8,2
92222155,2022-03-12T08:30:00Z,-6,2,8,2
92222155,2022-03-12T08:45:00Z,-6,2,8,2
92222155,2022-03-12T09:00:00Z,-6,2,8,2
